authorization_notice_id,filing_date,patentee,address,LOC
CN305252224S,2018-09,公司,北京市,01
CN305252225S,2018-09,公司,北京市,01
CN305252226S,2018-10,个人,陕西省,01
CN305252227S,2018-12,公司,重庆市,01
CN305252228S,2018-11,公司,美国,01
CN305252229S,2018-05,公司,上海市,02
CN305252230S,2018-07,个人,广东省,02
CN305252231S,2018-07,个人,广东省,02
CN305252232S,2018-07,个人,广东省,02
CN305252233S,2018-07,个人,广东省,02
CN305252234S,2018-07,个人,广东省,02
CN305252235S,2018-07,个人,广东省,02
CN305252236S,2018-07,个人,广东省,02
CN305252237S,2018-07,个人,广东省,02
CN305252238S,2018-07,个人,广东省,02
CN305252239S,2018-08,个人,广东省,02
CN305252240S,2018-08,公司,上海市,02
CN305252241S,2018-08,公司,上海市,02
CN305252242S,2018-08,研究所,浙江省,02
CN305252243S,2018-09,个人,湖北省,02
CN305252244S,2018-10,个人,浙江省,02
CN305252245S,2018-11,公司,广东省,02
CN305252246S,2018-11,公司,广东省,02
CN305252247S,2018-11,公司,广东省,02
CN305252248S,2018-11,公司,广东省,02
CN305252249S,2018-12,个人,广东省,02
CN305252250S,2018-12,公司,广东省,02
CN305252251S,2018-12,公司,广东省,02
CN305252252S,2018-12,个人,湖南省,02
CN305252253S,2018-12,公司,广东省,02
CN305252254S,2018-12,个人,广东省,02
CN305252255S,2018-12,公司,广东省,02
CN305252256S,2018-12,公司,广东省,02
CN305252257S,2018-12,个人,广东省,02
CN305252258S,2018-12,个人,广东省,02
CN305252259S,2018-12,个人,广东省,02
CN305252260S,2019-01,公司,广东省,02
CN305252261S,2019-01,公司,广东省,02
CN305252262S,2019-01,公司,广东省,02
CN305252263S,2019-01,个人,广东省,02
CN305252264S,2019-01,公司,广东省,02
CN305252265S,2019-01,公司,广东省,02
CN305252266S,2019-02,个人,江苏省,02
CN305252267S,2019-03,个人,广东省,02
CN305252268S,2019-03,个人,云南省,02
CN305252269S,2018-02,公司,福建省,02
CN305252270S,2018-05,学校,河南省,02
CN305252271S,2018-07,个人,英国,02
CN305252272S,2018-07,个人,山西省,02
CN305252273S,2018-07,个人,广东省,02
CN305252274S,2018-07,个人,广东省,02
CN305252275S,2018-07,个人,广东省,02
CN305252276S,2018-07,个人,广东省,02
CN305252277S,2018-07,个人,广东省,02
CN305252278S,2018-07,个人,广东省,02
CN305252279S,2018-07,个人,广东省,02
CN305252280S,2018-07,个人,广东省,02
CN305252281S,2018-07,个人,广东省,02
CN305252282S,2018-07,个人,广东省,02
CN305252283S,2018-07,个人,广东省,02
CN305252284S,2018-07,个人,广东省,02
CN305252285S,2018-08,个人,广东省,02
CN305252286S,2018-08,个人,广东省,02
CN305252287S,2018-08,个人,广东省,02
CN305252288S,2018-08,个人,广东省,02
CN305252289S,2018-08,个人,广东省,02
CN305252290S,2018-08,个人,广东省,02
CN305252291S,2018-08,个人,广东省,02
CN305252292S,2018-08,公司,四川省,02
CN305252293S,2018-08,公司,四川省,02
CN305252294S,2018-08,公司,四川省,02
CN305252295S,2018-08,公司,四川省,02
CN305252296S,2018-08,公司,四川省,02
CN305252297S,2018-08,公司,四川省,02
CN305252298S,2018-08,公司,四川省,02
CN305252299S,2018-08,公司,四川省,02
CN305252300S,2018-08,公司,四川省,02
CN305252301S,2018-08,公司,四川省,02
CN305252302S,2018-08,公司,四川省,02
CN305252303S,2018-08,公司,四川省,02
CN305252304S,2018-08,公司,四川省,02
CN305252305S,2018-08,公司,四川省,02
CN305252306S,2018-08,公司,四川省,02
CN305252307S,2018-08,公司,四川省,02
CN305252308S,2018-08,公司,四川省,02
CN305252309S,2018-08,公司,四川省,02
CN305252310S,2018-08,公司,四川省,02
CN305252311S,2018-08,公司,四川省,02
CN305252312S,2018-08,公司,四川省,02
CN305252313S,2018-08,公司,四川省,02
CN305252314S,2018-08,公司,四川省,02
CN305252315S,2018-08,公司,四川省,02
CN305252316S,2018-08,公司,福建省,02
CN305252317S,2018-08,公司,福建省,02
CN305252318S,2018-08,公司,福建省,02
CN305252319S,2018-08,个人,山西省,02
CN305252320S,2018-08,个人,山西省,02
CN305252321S,2018-08,个人,湖北省,02
CN305252322S,2018-08,个人,河南省,02
CN305252323S,2018-08,个人,河南省,02
CN305252324S,2018-09,研究所,北京市,02
CN305252325S,2018-09,研究所,北京市,02
CN305252326S,2018-09,个人,广东省,02
CN305252327S,2018-09,个人,新疆维吾尔自治区,02
CN305252328S,2018-09,个人,江西省,02
CN305252329S,2018-10,公司,广东省,02
CN305252330S,2018-10,公司,广东省,02
CN305252331S,2018-10,公司,广东省,02
CN305252332S,2018-10,公司,浙江省,02
CN305252333S,2018-10,公司,福建省,02
CN305252334S,2018-10,公司,福建省,02
CN305252335S,2018-10,公司,北京市,02
CN305252336S,2018-10,公司,北京市,02
CN305252337S,2018-10,公司,北京市,02
CN305252338S,2018-10,公司,北京市,02
CN305252339S,2018-10,公司,北京市,02
CN305252340S,2018-10,研究所,北京市,02
CN305252341S,2018-11,研究所,北京市,02
CN305252342S,2018-11,研究所,北京市,02
CN305252343S,2018-11,个人,江苏省,02
CN305252344S,2018-11,个人,浙江省,02
CN305252345S,2018-11,个人,浙江省,02
CN305252346S,2018-11,个人,广东省,02
CN305252347S,2018-11,个人,河北省,02
CN305252348S,2018-11,个人,山东省,02
CN305252349S,2018-11,公司,江苏省,02
CN305252350S,2018-12,公司,浙江省,02
CN305252351S,2018-11,公司,上海市,02
CN305252352S,2018-12,个人,河北省,02
CN305252353S,2018-12,个人,河北省,02
CN305252354S,2018-12,公司,河南省,02
CN305252355S,2018-12,研究所,广东省,02
CN305252356S,2018-12,个人,山东省,02
CN305252357S,2018-12,个人,浙江省,02
CN305252358S,2018-12,个人,浙江省,02
CN305252359S,2018-12,个人,浙江省,02
CN305252360S,2018-12,个人,浙江省,02
CN305252361S,2018-12,个人,浙江省,02
CN305252362S,2018-12,个人,浙江省,02
CN305252363S,2018-12,个人,浙江省,02
CN305252364S,2018-12,个人,浙江省,02
CN305252365S,2018-12,个人,浙江省,02
CN305252366S,2018-12,个人,浙江省,02
CN305252367S,2018-12,个人,浙江省,02
CN305252368S,2018-12,研究所,广东省,02
CN305252369S,2019-01,公司,浙江省,02
CN305252370S,2019-01,公司,广东省,02
CN305252371S,2019-01,个人,湖南省,02
CN305252372S,2019-01,公司,上海市,02
CN305252373S,2019-01,个人,辽宁省,02
CN305252374S,2019-01,学校,陕西省,02
CN305252375S,2018-07,个人,英国,02
CN305252376S,2018-07,个人,英国,02
CN305252377S,2018-12,公司,江苏省,02
CN305252378S,2018-08,个人,浙江省,02
CN305252379S,2018-09,公司,浙江省,02
CN305252380S,2018-10,研究所,浙江省,02
CN305252381S,2018-11,研究所,陕西省,02
CN305252382S,2018-11,公司,广东省,02
CN305252383S,2018-11,个人,山东省,02
CN305252384S,2018-12,公司,意大利,02
CN305252385S,2018-12,个人,浙江省,02
CN305252386S,2018-12,个人,安徽省,02
CN305252387S,2018-12,个人,浙江省,02
CN305252388S,2018-12,公司,浙江省,02
CN305252389S,2018-12,学校,福建省,02
CN305252390S,2018-12,个人,安徽省,02
CN305252391S,2018-12,个人,安徽省,02
CN305252392S,2018-12,公司,广东省,02
CN305252393S,2018-12,公司,广东省,02
CN305252394S,2019-01,个人,山西省,02
CN305252395S,2019-01,研究所,广东省,02
CN305252396S,2018-05,个人,日本,02
CN305252397S,2018-05,个人,山东省,02
CN305252398S,2018-06,个人,山东省,02
CN305252399S,2018-06,个人,山东省,02
CN305252400S,2018-06,个人,山东省,02
CN305252401S,2018-06,个人,山东省,02
CN305252402S,2018-06,个人,山东省,02
CN305252403S,2018-06,个人,山东省,02
CN305252404S,2018-06,个人,山东省,02
CN305252405S,2018-06,个人,湖南省,02
CN305252406S,2018-07,个人,福建省,02
CN305252407S,2018-07,公司,美国,02
CN305252408S,2018-07,公司,浙江省,02
CN305252409S,2018-07,个人,湖南省,02
