authorization_notice_id,filing_date,patentee,address,IPC
CN102889890B,2012-07,公司,美国,G
CN102905253B,2011-07,公司,广东省,H
CN102955381B,2012-08,公司,美国,G
CN103020102B,2012-09,公司,日本,G
CN103187540B,2011-12,研究所,江苏省,H
CN103198070B,2012-01,研究所,北京市,G
CN103226289B,2013-01,公司,日本,G
CN103247692B,2013-01,公司,日本,H
CN103249030B,2012-02,公司,广东省,H
CN103295991B,2013-03,公司,美国,H
CN103380390B,2012-01,公司,荷兰,G
CN103428635B,2013-05,公司,韩国,H
CN103428860B,2012-05,公司,日本,H
CN103476349B,2012-01,公司,美国,A
CN103490609B,2013-06,研究所,毛里求斯,H
CN103511058B,2013-06,公司,美国,F
CN103619271B,2012-04,公司,美国,A
CN103634295B,2013-11,公司,广东省,H
CN103654884B,2013-12,个人,河南省,A
CN103684115B,2013-12,公司,天津市,H
CN103684595B,2012-09,公司,广东省,H
CN103685000B,2013-09,公司,德国,H
CN103686853B,2012-09,公司,广东省,H
CN103687049B,2012-08,公司,广东省,H
CN103691388B,2014-01,研究所,河北省,B
CN103703353B,2012-06,公司,德国,G
CN103751114B,2007-01,公司,巴巴多斯,A
CN103762179B,2009-06,公司,美国,H
CN103781007B,2013-10,公司,美国,H
CN103841070B,2013-11,公司,德国,H
CN103849577B,2013-10,个人,山东省,C
CN103850054B,2013-02,个人,山西省,D
CN103856916B,2013-12,公司,韩国,H
CN103863330B,2013-11,公司,韩国,B
CN103865926B,2014-03,研究所,北京市,C
CN103876793B,2013-12,个人,河南省,A
CN103893186B,2010-07,公司,美国,A
CN103900050B,2014-04,公司,广东省,"['F', 'H']"
CN103793452B,2013-10,公司,德国,G
CN103930871B,2012-05,公司,美国,G
CN103961875B,2014-02,公司,日本,A
CN103997101B,2014-06,研究所,江西省,H
CN104006135B,2014-02,研究所,德国,F
CN104010370B,2014-04,学校,北京市,H
CN104025492B,2012-03,公司,美国,H
CN104051306B,2014-03,公司,日本,H
CN104051459B,2014-03,公司,美国,H
CN103904004B,2012-12,公司,上海市,H
CN103906069B,2014-02,学校,北京市,H
CN104079853B,2014-03,公司,日本,"['H', 'G']"
CN104080347B,2012-09,个人,美国,A
CN104103407B,2013-04,研究所,美国,H
CN104103541B,2014-08,公司,上海市,H
CN104103542B,2014-08,公司,上海市,H
