authorization_notice_id,filing_date,patentee,address,IPC
CN110007813A,2017-09,公司,广东省,G
CN109999443A,2017-12,个人,山东省,A
CN110008423A,2017-08,研究所,广东省,G
CN109999146A,2018-01,个人,山东省,A
CN110000663A,2017-12,个人,安徽省,B
CN110000465A,2017-12,公司,北京市,B
CN110000618A,2017-12,公司,浙江省,B
CN110004395A,2017-12,个人,山东省,C
CN110012666A,2017-10,公司,日本,B
CN110001372A,2017-12,研究所,上海市,B
CN110005763A,2017-12,公司,广东省,F
CN110004397A,2017-12,个人,山东省,C
CN110000696A,2017-12,公司,广东省,B
CN110009462A,2017-12,公司,四川省,G
CN110009292A,2017-12,个人,山东省,G
CN110005966A,2017-12,公司,辽宁省,F
CN110012676A,2017-06,公司,日本,H
CN110007376A,2018-01,研究所,北京市,G
CN110001633A,2018-01,研究所,上海市,B
CN110007298A,2018-01,学校,湖北省,G
CN109999110A,2018-01,个人,云南省,A
CN110007843A,2018-01,公司,广东省,G
CN110005864A,2018-01,公司,山东省,F
CN110001139A,2018-01,研究所,安徽省,B
CN110005485A,2018-01,研究所,北京市,F
CN110005493A,2018-01,研究所,北京市,F
CN110004709A,2018-01,公司,福建省,D
CN110004748A,2018-01,公司,福建省,D
CN109997864A,2018-01,个人,江苏省,A
CN110008155A,2018-01,公司,台湾省,G
CN110008107A,2018-01,研究所,北京市,"['G', 'H']"
CN109998375A,2018-01,个人,北京市,A
CN110011880A,2018-01,研究所,广东省,H
CN110005552A,2018-01,公司,上海市,F
CN110001784A,2018-01,公司,广东省,B
CN110010678A,2018-01,公司,广东省,H
CN110000284A,2018-01,研究所,天津市,B
CN110007218A,2018-01,公司,上海市,G
CN110009069A,2018-01,公司,山东省,G
CN110001148A,2018-01,公司,江苏省,B
CN110006878A,2018-01,研究所,江苏省,G
CN110004596A,2018-01,公司,江苏省,D
CN110009070A,2018-01,公司,山东省,G
CN110005637A,2018-01,公司,上海市,F
CN110005832A,2018-01,公司,浙江省,F
CN110009991A,2018-01,研究所,北京市,G
CN109997811A,2018-01,个人,四川省,A
CN110011716A,2018-01,研究所,浙江省,"['H', 'G']"
CN110004638A,2018-01,公司,山东省,D
CN110007915A,2018-01,研究所,湖北省,G
CN110010455A,2018-01,公司,安徽省,"['H', 'C']"
CN110004283A,2018-01,公司,黑龙江省,C
CN110000598A,2018-01,研究所,天津市,B
CN110003120A,2018-01,研究所,上海市,C
CN110011950A,2018-01,研究所,湖北省,H
CN110002752A,2018-01,研究所,陕西省,C
CN110008786A,2018-01,研究所,浙江省,G
CN110004640A,2018-01,公司,山东省,D
CN110006548A,2018-01,公司,上海市,G
CN110011924A,2018-01,研究所,广东省,H
CN110004668A,2018-01,公司,山东省,D
CN110002742A,2018-01,学校,北京市,C
CN110003947A,2018-01,公司,北京市,C
CN110009436A,2018-01,公司,台湾省,G
CN110012360A,2018-01,研究所,湖北省,H
CN110011769A,2018-01,公司,北京市,H
CN110011925A,2018-01,公司,广东省,H
CN110008483A,2018-01,个人,上海市,G
CN110012319A,2018-01,研究所,湖北省,H
CN110010955A,2018-01,公司,广东省,H
CN110003297A,2018-01,研究所,上海市,C
CN110006177A,2018-01,研究所,山东省,F
CN110011740A,2018-01,个人,浙江省,H
CN110012553A,2018-01,公司,广东省,H
CN110004645A,2018-01,公司,山东省,D
CN110012146A,2018-01,公司,广东省,H
CN110012512A,2018-01,公司,广东省,H
CN110004633A,2018-01,公司,山东省,D
CN110011711A,2018-01,公司,上海市,H
CN110003097A,2018-01,研究所,浙江省,C
CN110011365A,2018-01,研究所,浙江省,H
CN110012504A,2018-01,研究所,北京市,H
CN110010619A,2018-01,公司,台湾省,H
CN110003452A,2018-01,公司,北京市,C
CN110011761A,2018-01,研究所,北京市,H
CN110011772A,2018-01,研究所,北京市,H
CN109999693A,2018-01,研究所,江苏省,B
CN110010231A,2018-01,研究所,北京市,G
CN110002478A,2018-01,公司,河北省,C
CN110011754A,2018-01,研究所,广东省,H
CN109998383A,2018-01,公司,浙江省,A
CN110000066A,2018-01,公司,江苏省,B
CN110001517A,2018-01,公司,台湾省,B
CN110012450A,2018-01,研究所,广东省,H
CN110000996A,2018-01,公司,江苏省,B
CN110010772A,2018-01,研究所,北京市,"['H', 'B']"
CN110011366A,2018-01,研究所,台湾省,H
CN110012550A,2018-01,研究所,北京市,H
CN110010170A,2018-01,公司,台湾省,G
CN110003190A,2018-01,研究所,北京市,C
CN110007180A,2018-01,研究所,广东省,G
CN109999970A,2018-01,研究所,江西省,B
CN110005120A,2018-01,研究所,江西省,E
CN110004684A,2018-01,公司,山东省,D
CN110006903A,2018-01,研究所,台湾省,G
CN110002085A,2018-01,研究所,江苏省,B
CN110011755A,2018-01,公司,广东省,H
CN110007460A,2018-01,公司,上海市,G
CN110011923A,2018-01,研究所,上海市,H
CN110008146A,2018-01,公司,台湾省,G
CN110001468A,2018-01,公司,韩国,B
CN109998378A,2018-01,公司,广东省,A
CN110009169A,2018-01,公司,陕西省,G
CN110011121A,2018-01,公司,台湾省,H
CN110004105A,2018-01,研究所,上海市,C
CN110003780A,2018-01,公司,上海市,C
CN110012209A,2018-01,公司,广东省,"['H', 'G']"
CN110000882A,2018-01,公司,广东省,"['B', 'C']"
CN110012542A,2018-01,研究所,上海市,H
CN110011514A,2018-01,公司,台湾省,H
CN110007620A,2018-01,公司,开曼群岛,G
CN110010221A,2018-01,研究所,广东省,G
CN110007882A,2018-01,公司,广东省,G
CN110011706A,2018-01,研究所,广东省,H
CN110011763A,2018-01,公司,广东省,H
