authorization_notice_id,filing_date,patentee,address,IPC
CN209102019U,2015-12,公司,美国,G
CN209099453U,2016-12,公司,浙江省,E
CN209092272U,2017-07,公司,福建省,A
CN209092417U,2017-10,医院,江苏省,A
CN209091743U,2017-10,学校,上海市,A
CN209091776U,2017-06,个人,广东省,A
CN209091943U,2017-07,研究所,江苏省,A
CN209091834U,2017-07,个人,北京市,A
CN209091577U,2017-08,研究所,湖北省,A
CN209090646U,2017-08,研究所,云南省,A
CN209090647U,2017-08,工厂,浙江省,A
CN209091947U,2017-09,公司,广东省,A
CN209092043U,2017-12,学校,黑龙江省,A
CN209091766U,2017-08,公司,广东省,A
CN209091315U,2017-08,研究所,上海市,A
CN209093294U,2017-08,公司,江西省,B
CN209090271U,2017-10,公司,浙江省,A
CN209091548U,2017-09,个人,辽宁省,A
CN209092280U,2017-09,个人,湖南省,A
CN209092540U,2017-09,研究所,北京市,A
CN209092141U,2017-11,个人,山西省,A
CN209105515U,2017-09,公司,广东省,H
CN209091656U,2017-11,个人,辽宁省,A
CN209090621U,2017-12,研究所,福建省,A
CN209091219U,2017-10,个人,浙江省,A
CN209091058U,2017-12,公司,浙江省,A
CN209091722U,2017-11,学校,四川省,A
CN209091342U,2017-11,研究所,贵州省,A
CN209098203U,2017-10,公司,广东省,C
CN209091721U,2017-11,学校,江西省,A
CN209091893U,2017-12,个人,山东省,A
CN209090592U,2017-10,研究所,上海市,A
CN209092052U,2017-11,公司,江苏省,A
CN209091594U,2017-11,个人,山东省,A
CN209092499U,2017-11,医院,北京市,A
CN209091493U,2017-11,公司,上海市,A
CN209091686U,2017-11,个人,江西省,A
CN209092227U,2017-12,公司,台湾省,A
CN209092140U,2017-11,研究所,重庆市,A
CN209092142U,2017-11,研究所,重庆市,A
CN209090424U,2017-11,学校,上海市,A
CN209091464U,2017-11,个人,贵州省,A
CN209090910U,2017-11,研究所,陕西省,A
CN209090649U,2017-11,公司,香港特别行政区,"['A', 'B']"
CN209090708U,2017-12,个人,广东省,A
CN209096990U,2017-12,研究所,上海市,B
CN209090524U,2017-12,研究所,广东省,A
CN209090860U,2017-12,公司,浙江省,A
CN209092146U,2017-12,个人,湖北省,A
CN209090937U,2017-12,公司,广东省,A
CN209090625U,2017-12,学校,河南省,A
CN209090296U,2017-12,公司,广东省,A
CN209092360U,2017-12,个人,江苏省,A
CN209092345U,2017-12,个人,四川省,A
CN209103637U,2017-12,公司,浙江省,G
CN209091606U,2017-12,医院,河南省,A
CN209092275U,2017-12,研究所,河南省,A
CN209092121U,2017-12,研究所,湖北省,A
CN209090894U,2017-12,公司,广东省,A
CN209091685U,2017-12,研究所,广东省,A
CN209090651U,2017-12,公司,浙江省,A
CN209090297U,2017-12,公司,广东省,A
CN209104338U,2017-06,公司,日本,H
CN209091973U,2018-01,个人,山东省,A
CN209089721U,2018-01,研究所,广东省,A
CN209092387U,2018-01,个人,黑龙江省,A
CN209091113U,2018-01,研究所,北京市,A
CN209091484U,2018-01,个人,山东省,A
CN209091369U,2018-01,研究所,广东省,A
CN209103627U,2018-02,个人,广东省,G
CN209091122U,2018-01,个人,广东省,A
CN209091154U,2018-02,个人,云南省,A
CN209099107U,2018-01,研究所,山西省,E
CN209092234U,2018-01,个人,山东省,A
CN209090744U,2018-01,公司,浙江省,A
CN209092230U,2018-02,研究所,江苏省,A
CN209103569U,2018-02,学校,广西壮族自治区,G
CN209090252U,2018-02,研究所,广东省,A
CN209092527U,2018-02,个人,广东省,A
CN209092149U,2018-02,研究所,湖北省,A
CN209091778U,2018-02,个人,上海市,A
CN209092284U,2018-02,学校,甘肃省,A
CN209091132U,2018-03,研究所,北京市,A
CN209091949U,2018-03,医院,重庆市,A
CN209096339U,2018-02,公司,辽宁省,B
CN209092024U,2018-02,个人,山东省,A
CN209092003U,2018-02,学校,湖北省,A
CN209091488U,2018-03,个人,江苏省,A
CN209092025U,2018-03,个人,内蒙古自治区,A
CN209091382U,2018-03,个人,辽宁省,A
CN209091974U,2018-03,个人,贵州省,A
CN209092287U,2018-03,个人,山东省,A
CN209092505U,2018-03,学校,陕西省,A
CN209092198U,2018-03,个人,山东省,A
CN209092405U,2018-03,公司,山东省,A
CN209092150U,2018-03,公司,河南省,"['A', 'B']"
CN209091750U,2018-03,学校,广东省,A
CN209091267U,2018-03,个人,浙江省,A
CN209091533U,2018-03,学校,江苏省,A
CN209091849U,2018-03,个人,新疆维吾尔自治区,A
CN209091354U,2018-03,个人,浙江省,A
CN209103638U,2018-03,学校,湖南省,G
CN209098232U,2018-03,研究所,江苏省,C
CN209098233U,2018-03,研究所,江苏省,C
CN209092348U,2018-03,公司,云南省,"['A', 'C']"
CN209093686U,2018-03,研究所,江苏省,B
CN209091532U,2018-03,医院,甘肃省,A
CN209091948U,2018-03,医院,江苏省,"['A', 'G']"
CN209096022U,2018-03,公司,宁夏回族自治区,B
CN209090655U,2018-03,研究所,广东省,A
CN209090520U,2018-04,公司,广东省,A
CN209091199U,2018-04,公司,江苏省,A
CN209092084U,2018-04,个人,陕西省,A
CN209092467U,2018-04,学校,陕西省,A
CN209092180U,2018-03,医院,天津市,A
CN209092253U,2018-03,医院,辽宁省,A
CN209092235U,2018-03,公司,四川省,"['A', 'B']"
CN209090709U,2018-03,公司,浙江省,A
CN209091852U,2018-03,研究所,广东省,A
CN209092334U,2018-03,学校,广东省,A
CN209101808U,2018-03,公司,湖南省,F
CN209103456U,2018-03,研究所,上海市,G
CN209092361U,2018-03,医院,山东省,A
CN209096623U,2018-03,研究所,广东省,B
CN209092152U,2018-04,个人,浙江省,A
CN209091094U,2018-04,个人,湖北省,A
CN209097592U,2018-04,公司,河北省,B
CN209095793U,2018-04,研究所,江苏省,B
CN209090034U,2018-04,公司,福建省,A
CN209090214U,2018-04,研究所,浙江省,A
CN209103152U,2018-04,研究所,广东省,"['G', 'H']"
CN209092095U,2018-04,个人,江西省,A
CN209103591U,2018-04,研究所,广东省,G
CN209090341U,2018-04,公司,浙江省,A
CN209091857U,2018-04,医院,江苏省,A
CN209091980U,2018-04,医院,湖北省,A
CN209095543U,2018-04,公司,日本,B
CN209089968U,2018-04,学校,安徽省,A
CN209090975U,2018-04,公司,广东省,A
CN209092362U,2018-04,医院,浙江省,A
CN209091978U,2018-04,医院,江苏省,A
CN209091829U,2018-04,研究所,山东省,A
CN209092291U,2018-04,学校,陕西省,A
CN209091619U,2018-04,研究所,广东省,A
CN209091941U,2018-04,个人,山东省,A
CN209095602U,2018-04,研究所,江苏省,B
CN209090392U,2018-04,公司,广东省,A
CN209091702U,2018-04,公司,湖南省,A
CN209092408U,2018-04,个人,贵州省,A
CN209099447U,2018-04,个人,江西省,E
CN209092256U,2018-04,个人,甘肃省,A
CN209091633U,2018-04,公司,北京市,A
CN209091302U,2018-05,公司,广东省,A
CN209090594U,2018-05,公司,浙江省,A
CN209098576U,2018-05,学校,北京市,C
CN209091963U,2018-05,学校,新疆维吾尔自治区,A
CN209091555U,2018-05,个人,四川省,A
CN209089820U,2018-05,公司,广东省,A
CN209092517U,2018-04,公司,广东省,A
CN209103607U,2018-04,个人,陕西省,G
CN209095055U,2018-04,研究所,江苏省,B
CN209091114U,2018-04,个人,江苏省,A
CN209091920U,2018-04,研究所,广东省,A
CN209090727U,2018-04,个人,广东省,A
CN209095160U,2018-04,公司,湖南省,B
CN209102996U,2018-05,研究所,台湾省,G
CN209099616U,2018-05,公司,北京市,E
CN209097555U,2018-05,公司,安徽省,B
CN209092012U,2018-05,个人,甘肃省,A
CN209092479U,2018-05,研究所,江苏省,A
CN209093839U,2018-05,公司,美国,B
CN209097186U,2018-05,研究所,广东省,B
CN209092439U,2018-05,个人,广西壮族自治区,A
CN209092544U,2018-05,个人,甘肃省,A
CN209090246U,2018-05,公司,安徽省,A
CN209103645U,2018-05,个人,山东省,G
CN209092193U,2018-05,研究所,甘肃省,A
CN209091301U,2018-05,公司,山东省,A
CN209091459U,2018-05,个人,山东省,A
CN209092844U,2018-05,研究所,山东省,B
CN209091927U,2018-05,个人,山东省,A
CN209092511U,2018-05,学校,北京市,A
CN209092507U,2018-05,医院,江苏省,A
CN209090031U,2018-05,公司,江苏省,A
CN209100348U,2018-05,公司,湖南省,F
CN209091573U,2018-05,研究所,江苏省,A
CN209091098U,2018-05,研究所,福建省,A
CN209091786U,2018-05,个人,贵州省,A
CN209103669U,2018-05,学校,江西省,"['G', 'E']"
CN209090895U,2018-05,个人,香港特别行政区,A
CN209092452U,2018-05,学校,湖南省,A
CN209092567U,2018-05,个人,安徽省,A
CN209092156U,2018-05,个人,福建省,A
CN209092157U,2018-05,个人,广东省,A
CN209102397U,2018-05,公司,河南省,G
CN209091707U,2018-05,个人,湖南省,A
CN209090213U,2018-05,研究所,湖北省,A
CN209090476U,2018-05,公司,浙江省,A
CN209092028U,2018-05,医院,浙江省,A
CN209096453U,2018-05,研究所,江苏省,B
CN209098437U,2018-05,研究所,江苏省,C
CN209103556U,2018-05,公司,福建省,G
